,ds,Tmin,Tmax
4241,2023-08-16,9.274418062095442,19.971124540979798
4242,2023-08-17,9.221323032729288,20.06759764522981
4243,2023-08-18,9.154481530520796,20.18292315294124
4244,2023-08-19,9.189546939982266,20.223640315041724
4245,2023-08-20,9.319240332652384,20.37170639006964
4246,2023-08-21,9.2682119446918,20.466387087729068
4247,2023-08-22,9.163241104721852,20.459774173645815
4248,2023-08-23,9.559956032611346,20.56754083597529
4249,2023-08-24,9.556583991061817,20.64981161045924
4250,2023-08-25,9.542349766411043,20.7488789898974
4251,2023-08-26,9.631397507483271,20.77149173569908
4252,2023-08-27,9.814905834729736,20.8998869898719
4253,2023-08-28,9.815993792942672,20.97367523794501
4254,2023-08-29,9.759964582769783,20.945350058841417
4255,2023-08-30,10.201067242919105,21.031033467542727
4256,2023-08-31,10.236285582018734,21.09133392500069
4257,2023-09-01,10.253771253361638,21.169049484050504
4258,2023-09-02,10.366795048475556,21.171441486825596
4259,2023-09-03,10.565885525659832,21.281251353296
4260,2023-09-04,10.573751929238563,21.33856998297769
4261,2023-09-05,10.515537912127797,21.296332193516825
4262,2023-09-06,10.945586016403862,21.371047490960585
4263,2023-09-07,10.961222203477057,21.42364472140201
4264,2023-09-08,10.951177527876045,21.497163519440324
4265,2023-09-09,11.029521431561395,21.499018373003004
4266,2023-09-10,11.18777636257306,21.612008192589457
4267,2023-09-11,11.149811429012999,21.676181188351382
4268,2023-09-12,11.042062500132323,21.64432768347203
4269,2023-09-13,11.420259724493123,21.73271227940355
4270,2023-09-14,11.383172857297279,21.801922954467337
4271,2023-09-15,11.320992643457341,21.89456995179662
4272,2023-09-16,11.349223903576268,21.91756012578314
4273,2023-09-17,11.460761180043995,22.053119396852345
4274,2023-09-18,11.380745757050484,22.14067279761803
4275,2023-09-19,11.236752486595469,22.13235434459393
4276,2023-09-20,11.585488299137818,22.24375769334241
4277,2023-09-21,11.526513562457994,22.334804649971883
4278,2023-09-22,11.450605148427247,22.447463849639405
4279,2023-09-23,11.473637293264009,22.488044704523848
4280,2023-09-24,11.588651361373635,22.638238699278716
4281,2023-09-25,11.520713388580207,22.737016956584238
4282,2023-09-26,11.39710770857714,22.73615577438225
4283,2023-09-27,11.774048228826047,22.851000603663117
4284,2023-09-28,11.750418034672078,22.94134510903584
4285,2023-09-29,11.716155540791195,23.049157263534077
4286,2023-09-30,11.78616250059316,23.080877303707137
4287,2023-10-01,11.95240409925067,23.218459438339114
4288,2023-10-02,11.938799040589426,23.301266147025796
4289,2023-10-03,11.871446915075378,23.281586785760446
4290,2023-10-04,12.305373379188222,23.375391086811874
4291,2023-10-05,12.3383028013894,23.44319441430711
4292,2023-10-06,12.359075613740254,23.527767041969618
4293,2023-10-07,12.481584772693822,23.536412682176906
